gene_name	chr	bp	canonical
DDX11L1	1	12010	
MIR6859-1	1	17436	
MIR1302-2HG	1	29265	
WASH7P	1	29357	
MIR1302-2	1	30366	
FAM138A	1	37503	
OR4G4P	1	52473	
OR4G11P	1	62949	
OR4F5	1	65419	
CICP27	1	131025	
RNU6-1100P	1	157887	
DDX11L17	1	182696	
MIR6859-2	1	187958	
WASH9P	1	195411	
RPL23AP24	1	348366	
WBP1LP7	1	439870	
OR4F29	1	451678	
CICP7	1	487101	
MTND1P23	1	629062	
MTND2P28	1	629640	
MTCO1P12	1	631074	
MTCO2P12	1	632757	
MTATP8P1	1	633535	
MTATP6P1	1	633696	
MTCO3P12	1	634376	
WBP1LP6	1	674842	
OR4F16	1	686654	
CICP3	1	722092	
RNU6-1199P	1	758336	
LINC01409	1	778815	
FAM87B	1	817363	
LINC00115	1	827504	
LINC01128	1	827762	
TUBB8P11	1	873292	
FAM41C	1	876896	
LINC02593	1	923042	
SAMD11	1	930312	
NOC2L	1	959268	
KLHL17	1	960590	
PLEKHN1	1	966492	
PERM1	1	982106	
HES4	1	1000096	
ISG15	1	1002778	
AGRN	1	1045399	
PTPN11BP	1	1063079	
RNF223	1	1074306	
C1orf159	1	1116080	
LINC01342	1	1137017	
MIR200B	1	1167104	
MIR200A	1	1167863	
MIR429	1	1169005	
TTLL10	1	1173914	
TTLL10-AS1	1	1179555	
TNFRSF18	1	1206571	
TNFRSF4	1	1214138	
SDF4	1	1231947	
B3GALT6	1	1232237	
C1QTNF12	1	1244418	
UBE2J2	1	1273840	
LINC01786	1	1275223	
SCNN1D	1	1281574	
MIR6726	1	1296170	
ACAP3	1	1307890	
PUSL1	1	1308788	
MIR6727	1	1312566	
INTS11	1	1324625	
CPTP	1	1324802	
TAS1R3	1	1331280	
MIR6808	1	1339708	
DVL1	1	1349172	
MXRA8	1	1357022	
AURKAIP1	1	1375178	
NDUFB4P8	1	1378666	
CCNL2	1	1398661	
MRPL20-AS1	1	1399540	
RN7SL657P	1	1405752	
MRPL20	1	1407283	
MRPL20-DT	1	1409096	
ANKRD65-AS1	1	1421146	
ANKRD65	1	1421276	
TMEM88B	1	1425871	
LINC01770	1	1434399	
VWA1	1	1435606	
ATAD3C	1	1449914	
ATAD3B	1	1471784	
ATAD3A	1	1512192	
TMEM240	1	1540487	
SSU72-AS1	1	1574523	
SSU72	1	1574848	
FNDC10	1	1600135	
MIB2	1	1615877	
MMP23B	1	1632178	
CDK11B	1	1658999	
SLC35E2B	1	1692484	
MMP23A	1	1699942	
CDK11A	1	1722831	
SLC35E2A	1	1739557	
NADK	1	1778468	
GNB1	1	1890889	
GNB1-DT	1	1891206	
CALML6	1	1915263	
TMEM52	1	1919270	
CFAP74	1	1975518	
GABRD	1	2023561	
PRKCZ-DT	1	2050123	
PRKCZ	1	2074855	
PRKCZ-AS1	1	2184132	
FAAP20	1	2194771	
SKI	1	2230608	
MORN1	1	2391538	
RER1	1	2391840	
PEX10	1	2412533	
PLCH2	1	2477702	
PANK4	1	2526575	
HES5	1	2530263	
TNFRSF14-AS1	1	2551898	
TNFRSF14	1	2556389	
PRXL2B	1	2586809	
MMEL1	1	2602737	
MMEL1-AS1	1	2633081	
TTC34	1	2795679	
ACTRT2	1	3021467	
PRDM16-DT	1	3067725	
MIR4251	1	3127975	
PRDM16	1	3153571	
ARHGEF16	1	3466488	
MIR551A	1	3560790	
MEGF6	1	3611430	
TPRG1L	1	3625015	
WRAP73	1	3650062	
TP73-AS3	1	3668772	
TP73	1	3675318	
TP73-AS2	1	3714298	
GFOD3P	1	3746720	
CCDC27	1	3752445	
SMIM1	1	3772749	
RN7SL574P	1	3782815	
LRRC47	1	3796498	
CEP104	1	3857199	
DFFB	1	3857474	
C1orf174	1	3900258	
LINC01134	1	3900392	
LINC01346	1	3940596	
LINC01345	1	3948900	
LINC02780	1	3996927	
EEF1DP6	1	4175899	
LINC01777	1	4412090	
LINC01646	1	4571504	
AJAP1	1	4655032	
LINC02781	1	4973381	
LINC02782	1	5090899	
MIR4689	1	5862741	
NPHP4	1	5992425	
KCNAB2	1	6026307	
CHD5	1	6137921	
RPL22	1	6199728	
RNF207-AS1	1	6206039	
RNF207	1	6206136	
ICMT	1	6235964	
ICMT-DT	1	6236148	
HES3	1	6244179	
GPR153	1	6261095	
ACOT7	1	6385813	
HES2	1	6419919	
MIR4252	1	6429896	
ESPN	1	6448255	
TNFRSF25	1	6465858	
PLEKHG5	1	6490575	
RNU6-731P	1	6540854	
NOL9	1	6554500	
TAS1R1	1	6555309	
ZBTB48	1	6580030	
KLHL21	1	6603001	
PHF13	1	6613746	
THAP3	1	6625186	
DNAJC11	1	6701805	
LINC01672	1	6724653	
CAMTA1-DT	1	6784711	
CAMTA1	1	6874056	
CAMTA1-AS3	1	7014279	
RNU1-8P	1	7219360	
CAMTA1-IT1	1	7361128	
CAMTA1-AS2	1	7389911	
CAMTA1-AS1	1	7441596	
VAMP3	1	7772707	
PER3	1	7784379	
UTS2	1	7853431	
TNFRSF9	1	7940839	
PARK7	1	7961661	
ERRFI1	1	8026206	
RPL7AP18	1	8058463	
ERRFI1-DT	1	8077408	
LINC01714	1	8201431	
RNU1-7P	1	8206597	
RNU6-991P	1	8292263	
SLC45A1	1	8321226	
RERE-AS1	1	8425400	
RERE	1	8558440	
RPL7P11	1	8750430	
RPL7P7	1	8786913	
RPL23AP19	1	8831007	
MIR6728	1	8866590	
ENO1	1	8878685	
ENO1-AS1	1	8878813	
RNU6-304P	1	8883533	
HMGN2P17	1	8893409	
CA6	1	8945875	
RN7SL451P	1	8979874	
SLC2A7	1	9026423	
SLC2A5	1	9071727	
GPR157	1	9128941	
MIR34A	1	9151777	
LNCTAM34A	1	9182171	
MIR34AHG	1	9197085	
H6PD	1	9238170	
SPSB1	1	9294528	
RNA5SP40	1	9437778	
LINC02606	1	9450418	
SLC25A33	1	9539488	
TMEM201	1	9588922	
PIK3CD-AS1	1	9654586	
PIK3CD-AS2	1	9687583	
PIK3CD	1	9688861	
MZT1P1	1	9780822	
CLSTN1	1	9823947	
CTNNBIP1-AS1	1	9848318	
CTNNBIP1	1	9910234	
LZIC	1	9943355	
NMNAT1	1	9943469	
RN7SKP269	1	9947318	
TMEM274P	1	9960787	
MIR5697	1	9967381	
RBP7	1	9997204	
UBE4B	1	10033213	
RPL21P21	1	10054781	
PGAM1P11	1	10058671	
RNU6-828P	1	10163268	
KIF1B	1	10211616	
RNU6-37P	1	10298966	
RN7SL731P	1	10306465	
PGD	1	10399064	
CENPS-CORT	1	10430435	
CENPS	1	10430783	
CORT	1	10450031	
DFFA	1	10472520	
PEX14	1	10474955	
RN7SL614P	1	10616836	
CASZ1	1	10693912	
HSPE1P24	1	10895761	
CIROZ	1	10964201	
CFL1P6	1	10991797	
TARDBP	1	11016878	
MASP2	1	11047217	
SRM	1	11060003	
EXOSC10-AS1	1	11064401	
EXOSC10	1	11099846	
MTOR-AS1	1	11144161	
RNU6-537P	1	11152350	
ANGPTL7	1	11191491	
RNU6-291P	1	11226254	
RPL39P6	1	11232963	
MTOR	1	11262515	
UBIAD1	1	11273708	
UBE2V2P3	1	11279351	
MTCYBP45	1	11425821	
DISP3	1	11479160	
LINC01647	1	11609468	
FBXO2	1	11654429	
FBXO44	1	11654859	
FBXO6	1	11664290	
DRAXIN	1	11691442	
MAD2L2	1	11691499	
AGTRAP	1	11736144	
C1orf167	1	11775526	
C1orf167-AS1	1	11779619	
MTHFR	1	11804485	
CLCN6	1	11806231	
NPPA	1	11847783	
NPPB	1	11858946	
SBF1P2	1	11877770	
RNU5E-1	1	11908152	
RNU5E-4P	1	11909927	
KIAA2013	1	11926426	
PLOD1	1	11934716	
MFN2	1	11980427	
MIIP	1	12019555	
MIR6729	1	12029158	
RN7SL649P	1	12037014	
TNFRSF8	1	12063470	
RNU6-777P	1	12077984	
RPL23AP89	1	12080547	
MIR7846	1	12166943	
TNFRSF1B	1	12166993	
MIR4632	1	12191713	
RPL10P17	1	12221109	
VPS13D	1	12350608	
SNORA59A	1	12507246	
LINC02766	1	12525716	
RNU6ATAC18P	1	12570072	
MIR6730	1	12579023	
DHRS3	1	12617975	
AADACL4	1	12644085	
AADACL3	1	12716112	
CFAP107	1	12746387	
PRAMEF12	1	12773738	
PRAMEF1	1	12793044	
LINC01784	1	12823239	
PRAMEF11	1	12831410	
PRAMEF30P	1	12841357	
HNRNPCL1	1	12848720	
PRAMEF2	1	12857086	
PRAMEF4	1	12886201	
PRAMEF10	1	12897164	
PRAMEF7	1	12917117	
RNU6-1072P	1	12922554	
PRAMEF29P	1	12926162	
PRAMEF6	1	12946498	
PRAMEF28P	1	13029339	
PRAMEF27	1	13056575	
HNRNPCL3	1	13060963	
PRAMEF25	1	13069725	
PRAMEF34P	1	13097971	
PRAMEF35P	1	13105689	
HNRNPCL2	1	13116854	
PRAMEF36P	1	13128818	
PRAMEF26	1	13157062	
HNRNPCL4	1	13165631	
PRAMEF9	1	13171848	
